name	logFC	ave_exp	P.Value_reg1__vs__NT	minus_log_pval	TFDatabase
HNRNPLL	-0.345352671	27.19589648	0.051578803	1.287528740843427	absent
CDK13	-0.345482764	26.45615261	0.146654484	0.8337046538106996	absent
CIRBP	-0.346796482	28.61055197	0.02233149	1.651082298997988	absent
IGF2BP2	-0.347381775	25.73182292	0.247568935	0.6063038515925259	absent
HNRNPUL1	-0.347776921	31.22163848	0.00232782	2.633050604790642	absent
PRPF6	-0.349945682	31.51183335	0.036905852	1.43290476419864	absent
NUP155	-0.350922956	31.23750997	0.004147627	2.382200307038438	absent
RAB10	-0.351505067	25.11835813	0.438904326	0.3576301385702242	absent
GTF2I	-0.352342524	31.36923645	0.003373999	2.4718550504648977	absent
NKAP	-0.354576825	27.91546269	0.171578596	0.7655368902569544	absent
RANBP2	-0.355473845	33.18375976	8.04084e-4	3.0946985795713218	absent
BRCA1	-0.35604353	25.88433926	0.235487942	0.6280313257195093	absent
SART1	-0.356210585	29.02038058	0.018245482	1.7388446591738045	absent
PRRC2C	-0.356628467	28.6252197	0.039339533	1.4051707999003338	absent
SMG6	-0.35772591	21.12346279	0.526091876	0.2789384046001275	absent
POLR2A	-0.358024354	31.83068563	6.09036e-4	3.2153570355456793	absent
HBS1L	-0.358559765	27.77248217	0.114914253	0.9396261017263632	absent
UBAP2L	-0.359530092	30.50488497	0.018100816	1.7423018463292055	absent
DHX38	-0.359781347	27.5803584	0.10223203	0.9904130154253037	absent
MKRN2	-0.361612015	26.15403367	0.212887536	0.6718497646062012	absent
TARS	-0.362072094	22.37831388	0.493907377	0.30635448716814007	absent
SRRT	-0.365998891	31.00584084	0.046370691	1.3337564323498068	absent
RPL27	-0.368731308	29.82462196	0.088451166	1.0532964376663194	absent
ZNF629	-0.368963883	25.18929295	0.589781897	0.22930856198711125	absent
PEF1	-0.370920322	27.88535372	0.020789153	1.6821632045078556	absent
TPM3	-0.37159481	24.39105228	0.50428673	0.29732245988687145	absent
XAB2	-0.372203164	28.02285575	0.061693803	1.2097584576534426	absent
INTS5	-0.372559891	26.72992846	0.21349715	0.6706079180512982	absent
CLK2	-0.373780905	24.44211975	0.378074099	0.42242307414943775	absent
KDM1B	-0.374067117	23.60166829	0.302989194	0.5185728601770919	absent
UIMC1	-0.376202289	26.13892345	0.108646973	0.9639823690002411	absent
MED12	-0.377726544	27.69889273	0.007960973	2.0990338490077565	absent
NOC3L	-0.380186609	32.01543591	0.03857249	1.4137223248789625	absent
DHRS7B	-0.380309274	26.44948028	0.070865747	1.1495636305918884	absent
KTN1	-0.380339911	27.85012564	0.033333955	1.4771131552031027	absent
INTS1	-0.381539396	27.37922353	0.078358945	1.1059114198411961	absent
ENO1	-0.381813354	22.87040399	0.62035011	0.20736313642731108	absent
USP48	-0.382558666	25.2677356	0.265330696	0.5762125037596543	absent
